song_name,weeks_on_top_chart
"Elliot's Song - From ""Euphoria"" An HBO Original Series",1
"Kesariya (From ""Brahmastra"")",11
"Lose Yourself - From ""8 Mile"" Soundtrack",43
"Manike (From ""Thank God"")",1
"Surface Pressure - From ""Encanto""/Soundtrack Version",10
1 2 3 (feat. Jason Derulo & De La Ghetto),2
10 Things I Hate About You,7
10:35,2
1AM FREESTYLE,1
2 Be Loved (Am I Ready),7
2055,9
212,8
25k jacket (feat. Lil Baby),1
295,2
2step (feat. Lil Baby),3
3AM on Glenwood,1
505,52
712PM,1
A Holly Jolly Christmas,5
A Keeper,1
A La Antigüita,1
A Tale By Quincy,1
A Tu Merced,17
A Veces (feat. Feid),2
ABALO EMOCIONAL - Ao Vivo,2
ACORDA PEDRINHO,4
ALIEN SUPERSTAR,6
ALL MINE,1
ALL UP IN YOUR MIND,1
AM Remix,9
AMERICA HAS A PROBLEM,1
ANTIFRAGILE,10
APA,1
ARASAN DA,2
AUTOMÁTICO,1
About Damn Time,33
Acapulco,5
Adore You,13
Afraid To Feel,11
After Dark,34
After Hours,1
After LIKE,10
Agosto,9
Aguacero,17
Ai Preto,5
Ain't Shit,6
Alien Blues,4
All For Us,6
All For Us - from the HBO Original Series Euphoria,5
All I Want for Christmas Is You,8
All The Money (with Gunna) [Bonus],1
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),15
All of Me,16
Ameaça,1
Andrea,20
Angel Baby,20
Another Love,52
Another One Bites The Dust - Remastered 2011,1
Antes de Perderte,2
Anti-Hero,10
Antidepresan,4
Apocalypse,25
Arcade,10
Are You Entertained (feat. Ed Sheeran),1
Around Me (feat. Don Toliver),1
Arranhão - Ao Vivo,1
Arson,2
As It Was,39
Astronaut In The Ocean,5
Atlantis,20
Attention,9
Auntie Diaries,1
B.O.T.A. (Baddest Of Them All) - Edit,12
BABY OTAKU,8
BEAUTIFUL (feat. Future & SZA),1
BIG TIME (feat. Future & Lil Baby),1
BILLIE EILISH.,12
BIZCOCHITO,3
BREAK MY SOUL,18
Baby It's Cold Outside,1
Baby It's Cold Outside (feat. Meghan Trainor),1
